,Player,Tm,Pos,Age,MP,Team Performance,Team Performance (20),Season,Composite,ORtg,DRtg
0,Jason Terry,ATL,PG,22,1888,Average,bottom,1999-2000,0.20984455958549228,100.0,108.0
1,LaPhonso Ellis,ATL,PF,29,1309,Average,bottom,1999-2000,0.18976683937823835,103.0,108.0
2,Matt Maloney,ATL,PG,29,1403,Average,bottom,2000-2001,0.16491228070175454,100.0,107.0
3,DerMarr Johnson,ATL,SF,20,1313,Average,bottom,2000-2001,0.09684210526315795,88.0,106.0
4,Jacque Vaughn,ATL,PG,26,1856,Average,Average,2001-2002,0.19974715549936795,110.0,109.0
5,Toni Kukoč*,ATL,SF,33,1494,Average,Average,2001-2002,0.22187104930467763,101.0,107.0
6,Alan Henderson,ATL,C,30,1494,Average,Average,2002-2003,0.15015384615384614,106.0,106.0
7,Darvin Ham,ATL,SG,29,926,Average,Average,2002-2003,0.02892307692307694,87.0,109.0
8,Boris Diaw,ATL,SG,21,1919,Average,bottom,2003-2004,0.12825520833333343,93.0,107.0
9,Chris Crawford,ATL,PF,28,1207,Average,bottom,2003-2004,0.1966145833333333,109.0,108.0
10,Predrag Drobnjak,ATL,C,29,1435,bottom,bottom,2004-2005,0.1839080459770116,100.0,112.0
11,Tony Delk,ATL,SG,31,1340,bottom,bottom,2004-2005,0.21264367816091967,108.0,113.0
12,Josh Childress,ATL,SF,22,2249,bottom,bottom,2005-2006,0.23031496062992135,121.0,111.0
13,Marvin Williams,ATL,PF,19,1952,bottom,bottom,2005-2006,0.15879265091863526,109.0,112.0
14,Josh Childress,ATL,SG,23,2024,bottom,bottom,2006-2007,0.2468056489576327,119.0,109.0
15,Tyronn Lue,ATL,PG,29,1488,bottom,bottom,2006-2007,0.2158708809683927,110.0,113.0
16,Josh Childress,ATL,SF,24,2274,Average,Average,2007-2008,0.22524052065647987,127.0,110.0
17,Zaza Pachulia,ATL,C,23,944,Average,Average,2007-2008,0.12620260328239957,101.0,108.0
18,Ronald Murray,ATL,SG,29,1975,Average,Average,2008-2009,0.1767313019390581,104.0,109.0
19,Maurice Evans,ATL,SF,30,1840,Average,Average,2008-2009,0.12686980609418275,115.0,110.0
20,Jamal Crawford,ATL,SG,29,2460,Average,top,2009-2010,0.22233766233766222,114.0,110.0
21,Maurice Evans,ATL,SF,31,1317,Average,top,2009-2010,0.12103896103896097,117.0,109.0
22,Jamal Crawford,ATL,SG,30,2297,Average,Average,2010-2011,0.1850613154960981,105.0,111.0
23,Zaza Pachulia,ATL,C,26,1244,Average,Average,2010-2011,0.14659977703455962,111.0,105.0
24,Marvin Williams,ATL,SF,25,1500,Average,Average,2011-2012,0.20831055221432476,113.0,101.0
25,Kirk Hinrich,ATL,SG,31,1237,Average,Average,2011-2012,0.11700382722799346,100.0,104.0
26,Devin Harris,ATL,SG,29,1421,Average,Average,2012-2013,0.1849865951742628,108.0,106.0
27,Lou Williams,ATL,SG,26,1119,Average,Average,2012-2013,0.20643431635388743,106.0,107.0
28,Mike Scott,ATL,PF,25,1482,Average,Average,2013-2014,0.2123176661264182,105.0,108.0
29,Shelvin Mack,ATL,PG,23,1490,Average,Average,2013-2014,0.1923284710967044,105.0,109.0
30,Dennis Schröder,ATL,PG,21,1516,top,top,2014-2015,0.1997041420118343,101.0,106.0
31,Kent Bazemore,ATL,SG,25,1324,top,top,2014-2015,0.12080867850098616,94.0,102.0
32,Thabo Sefolosha,ATL,SF,31,1758,Average,Average,2015-2016,0.17393561786085146,108.0,100.0
33,Dennis Schröder,ATL,PG,22,1621,Average,Average,2015-2016,0.21651090342679116,97.0,103.0
34,Tim Hardaway Jr.,ATL,SG,24,2154,Average,Average,2016-2017,0.21165475536008788,110.0,109.0
35,Mike Muscala,ATL,C,25,1237,Average,Average,2016-2017,0.19571192963166573,116.0,107.0
36,John Collins,ATL,PF,20,1785,bottom,bottom,2017-2018,0.24957841483979767,117.0,108.0
37,Isaiah Taylor,ATL,PG,23,1167,bottom,bottom,2017-2018,0.14109050028105674,101.0,114.0
38,DeAndre' Bembry,ATL,SG,24,1931,Average,bottom,2018-2019,0.1677890011223344,97.0,112.0
39,Kent Bazemore,ATL,SG,29,1643,Average,bottom,2018-2019,0.16835016835016828,98.0,112.0
40,Cam Reddish,ATL,SF,20,1551,Average,bottom,2019-2020,0.12975778546712807,95.0,115.0
41,Damian Jones,ATL,C,24,887,Average,bottom,2019-2020,0.182237600922722,138.0,113.0
42,Solomon Hill,ATL,PF,29,1513,Average,Average,2020-2021,0.08526764566556133,104.0,115.0
43,Bogdan Bogdanović,ATL,SG,28,1305,Average,Average,2020-2021,0.2202747513027002,122.0,114.0
44,Bogdan Bogdanović,ATL,SG,29,1848,Average,Average,2021-2022,0.1942379182156133,114.0,116.0
45,Danilo Gallinari,ATL,PF,33,1672,Average,Average,2021-2022,0.19516728624535304,120.0,117.0
46,Onyeka Okongwu,ATL,C,22,1849,Average,Average,2022-2023,0.215962441314554,134.0,112.0
47,Bogdan Bogdanović,ATL,SG,30,1508,Average,Average,2022-2023,0.1807511737089202,117.0,118.0
48,Tony Battie,BOS,C,23,1505,Average,Average,1999-2000,0.1816393442622952,108.0,103.0
49,Eric Williams,BOS,SF,27,1378,Average,Average,1999-2000,0.13245901639344268,108.0,108.0
50,Vitaly Potapenko,BOS,C,25,1901,Average,Average,2000-2001,0.17572099262240115,103.0,104.0
51,Eric Williams,BOS,SF,28,1745,Average,Average,2000-2001,0.11200536552649236,100.0,106.0
52,Eric Williams,BOS,SF,29,1747,Average,Average,2001-2002,0.10054184226369658,96.0,103.0
53,Erick Strickland,BOS,PG,28,1643,Average,Average,2001-2002,0.18362432269717038,106.0,103.0
54,Walter McCarty,BOS,SF,28,1949,Average,Average,2002-2003,0.1492439184746877,106.0,102.0
55,Tony Delk,BOS,PG,29,1873,Average,Average,2002-2003,0.20315581854043394,108.0,103.0
56,Walter McCarty,BOS,PF,29,1900,Average,Average,2003-2004,0.14720812182741114,102.0,105.0
57,Marcus Banks,BOS,PG,22,1385,Average,Average,2003-2004,0.13071065989847716,91.0,103.0
58,Ricky Davis,BOS,SG,25,2696,Average,Average,2004-2005,0.19635508524397416,104.0,110.0
59,Tony Allen,BOS,SG,23,1262,Average,Average,2004-2005,0.16637272192827757,106.0,104.0
60,Ryan Gomes,BOS,PF,23,1376,Average,Average,2005-2006,0.21181646763042103,112.0,108.0
61,Kendrick Perkins,BOS,C,21,1332,Average,Average,2005-2006,0.1684475172847266,100.0,103.0
62,Rajon Rondo,BOS,PG,20,1831,bottom,bottom,2006-2007,0.20696584058941736,97.0,103.0
63,Gerald Green,BOS,SF,21,1780,bottom,bottom,2006-2007,0.14668452779638308,99.0,109.0
64,James Posey,BOS,PF,31,1821,top,top,2007-2008,0.1652587117212249,114.0,98.0
65,Eddie House,BOS,PG,29,1480,top,top,2007-2008,0.16948257655755014,105.0,100.0
66,Glen Davis,BOS,C,23,1637,top,top,2008-2009,0.1024416135881104,106.0,103.0
67,Eddie House,BOS,PG,30,1479,top,top,2008-2009,0.1926751592356688,115.0,103.0
68,Rasheed Wallace,BOS,C,35,1780,Average,Average,2009-2010,0.16340933767643862,100.0,100.0
69,Tony Allen,BOS,SG,28,889,Average,Average,2009-2010,0.15526601520086852,101.0,101.0
70,Glen Davis,BOS,C,25,2298,Average,top,2010-2011,0.1575052854122622,101.0,100.0
71,Marquis Daniels,BOS,SF,30,938,Average,top,2010-2011,0.1479915433403805,102.0,101.0
72,Brandon Bass,BOS,PF,26,1868,Average,Average,2011-2012,0.20034149117814457,103.0,99.0
73,Avery Bradley,BOS,PG,21,1368,Average,Average,2011-2012,0.14114968696642002,100.0,102.0
74,Jeff Green,BOS,PF,26,2252,Average,Average,2012-2013,0.20057142857142854,104.0,104.0
75,Jason Terry,BOS,SG,35,2124,Average,Average,2012-2013,0.1748571428571429,107.0,107.0
76,Kris Humphries,BOS,PF,28,1376,Average,bottom,2013-2014,0.2783699059561129,113.0,105.0
77,Kelly Olynyk,BOS,C,22,1400,Average,bottom,2013-2014,0.20125391849529786,107.0,107.0
78,Marcus Smart,BOS,PG,20,1808,Average,Average,2014-2015,0.1319681456200227,101.0,104.0
79,Kelly Olynyk,BOS,C,23,1423,Average,Average,2014-2015,0.18998862343572245,105.0,102.0
80,Evan Turner,BOS,SG,27,2271,Average,Average,2015-2016,0.22044198895027634,102.0,104.0
81,Marcus Smart,BOS,PG,21,1667,Average,Average,2015-2016,0.13314917127071832,101.0,103.0
82,Marcus Smart,BOS,SG,22,2399,top,top,2016-2017,0.1531027466937945,102.0,108.0
83,Kelly Olynyk,BOS,C,25,1538,top,top,2016-2017,0.20498474059003044,113.0,107.0
84,Terry Rozier,BOS,PG,23,2068,top,top,2017-2018,0.21771611526147272,109.0,104.0
85,Marcus Smart,BOS,SG,23,1614,top,top,2017-2018,0.144076840981857,97.0,104.0
86,Gordon Hayward,BOS,PF,28,1863,Average,Average,2018-2019,0.21425132402503616,114.0,109.0
87,Jaylen Brown,BOS,SG,22,1913,Average,Average,2018-2019,0.156957149735195,104.0,109.0
88,Marcus Smart,BOS,SG,25,1919,Average,top,2019-2020,0.16750250752256765,110.0,107.0
89,Brad Wanamaker,BOS,PG,30,1369,Average,top,2019-2020,0.15797392176529584,115.0,109.0
90,Payton Pritchard,BOS,SG,23,1268,Average,Average,2020-2021,0.16,117.0,115.0
91,Robert Williams,BOS,C,23,985,Average,Average,2020-2021,0.31449999999999995,139.0,104.0
92,Grant Williams,BOS,PF,23,1875,Average,top,2021-2022,0.126865671641791,122.0,109.0
93,Payton Pritchard,BOS,PG,24,1001,Average,top,2021-2022,0.19076492537313425,120.0,110.0
94,Grant Williams,BOS,PF,24,2045,top,top,2022-2023,0.12494382022471916,118.0,113.0
95,Malcolm Brogdon,BOS,PG,30,1744,top,top,2022-2023,0.24134831460674164,122.0,113.0
96,Andray Blatche,BRK,C,26,1555,Average,Average,2012-2013,0.2690156599552571,107.0,101.0
97,C.J. Watson,BRK,PG,28,1521,Average,Average,2012-2013,0.16666666666666657,113.0,107.0
98,Andray Blatche,BRK,PF,27,1618,Average,Average,2013-2014,0.2511655011655011,104.0,105.0
99,Alan Anderson,BRK,SF,31,1773,Average,Average,2013-2014,0.11130536130536127,103.0,111.0
100,Jarrett Jack,BRK,PG,31,2241,Average,Average,2014-2015,0.22074159907300114,101.0,109.0
101,Bojan Bogdanović,BRK,SF,25,1854,Average,Average,2014-2015,0.15353418308227107,106.0,111.0
102,Bojan Bogdanović,BRK,SF,26,2115,bottom,bottom,2015-2016,0.15771428571428575,102.0,115.0
103,Shane Larkin,BRK,PG,23,1751,bottom,bottom,2015-2016,0.19828571428571434,100.0,110.0
104,Sean Kilpatrick,BRK,SG,27,1754,bottom,bottom,2016-2017,0.21356932153392336,102.0,112.0
105,Isaiah Whitehead,BRK,PG,21,1643,bottom,bottom,2016-2017,0.10796460176991157,91.0,113.0
106,Joe Harris,BRK,SG,26,1975,Average,Average,2017-2018,0.18446059250978206,116.0,113.0
107,Caris LeVert,BRK,SF,23,1864,Average,Average,2017-2018,0.20458356623812196,103.0,110.0
108,Spencer Dinwiddie,BRK,PG,25,1914,Average,Average,2018-2019,0.2119714442613949,114.0,113.0
109,DeMarre Carroll,BRK,PF,32,1703,Average,Average,2018-2019,0.18012081274025263,110.0,111.0
110,Garrett Temple,BRK,SG,33,1730,Average,Average,2019-2020,0.14962325080731967,106.0,111.0
111,DeAndre Jordan,BRK,C,31,1234,Average,Average,2019-2020,0.32185145317545755,129.0,104.0
112,Jeff Green,BRK,PF,34,1835,top,top,2020-2021,0.1562224183583407,122.0,116.0
113,Bruce Brown,BRK,PG,24,1451,top,top,2020-2021,0.18270079435127975,124.0,112.0
114,Kyrie Irving,BRK,PG,29,1091,Average,Average,2021-2022,0.27618119824646864,117.0,114.0
115,Cam Thomas,BRK,SG,20,1176,Average,Average,2021-2022,0.16755966877739892,103.0,115.0
116,Joe Harris,BRK,SF,31,1527,Average,Average,2022-2023,0.13016330451488956,119.0,117.0
117,Seth Curry,BRK,SG,32,1211,Average,Average,2022-2023,0.15561959654178675,113.0,117.0
118,Jason Hart,CHA,PG,26,1887,bottom,bottom,2004-2005,0.27399999999999997,112.0,107.0
119,Melvin Ely,CHA,PF,26,1649,bottom,bottom,2004-2005,0.11399999999999996,92.0,109.0
120,Melvin Ely,CHA,PF,27,1348,bottom,bottom,2005-2006,0.1948138297872341,103.0,107.0
121,Bernard Robinson,CHA,SF,25,1303,bottom,bottom,2005-2006,0.1675531914893617,98.0,105.0
122,Adam Morrison,CHA,PF,22,2326,Average,Average,2006-2007,0.10645161290322577,91.0,112.0
123,Brevin Knight,CHA,PG,31,1273,Average,Average,2006-2007,0.22903225806451605,103.0,108.0
124,Matt Carroll,CHA,SG,27,2016,Average,Average,2007-2008,0.14285714285714282,110.0,112.0
125,Jared Dudley,CHA,PF,22,1384,Average,Average,2007-2008,0.18315018315018322,112.0,109.0
126,D.J. Augustin,CHA,PG,21,1908,Average,Average,2008-2009,0.2176291793313069,115.0,110.0
127,Sean May,CHA,PF,24,301,Average,Average,2008-2009,0.09908814589665653,82.0,106.0
128,D.J. Augustin,CHA,PG,22,1472,Average,Average,2009-2010,0.14545454545454542,106.0,107.0
129,Tyson Chandler,CHA,C,27,1163,Average,Average,2009-2010,0.16246334310850433,107.0,102.0
130,Gerald Henderson,CHA,SG,23,1661,Average,Average,2010-2011,0.18181818181818185,104.0,109.0
131,Shaun Livingston,CHA,PG,25,1261,Average,Average,2010-2011,0.21052631578947376,103.0,108.0
132,Kemba Walker,CHA,PG,21,1792,bottom,bottom,2011-2012,0.2733142037302727,96.0,111.0
133,Byron Mullens,CHA,C,22,1465,bottom,bottom,2011-2012,0.2166427546628409,94.0,110.0
134,Ramon Sessions,CHA,SG,26,1652,bottom,bottom,2012-2013,0.26945337620578774,109.0,114.0
135,Ben Gordon,CHA,SG,29,1560,bottom,bottom,2012-2013,0.1742765273311897,96.0,115.0
136,Cody Zeller,CHA,C,21,1416,Average,Average,2013-2014,0.165909090909091,101.0,102.0
137,Anthony Tolliver,CHA,PF,28,1298,Average,Average,2013-2014,0.147159090909091,118.0,107.0
138,Baron Davis,CHH,PG,20,1523,Average,Average,1999-2000,0.14676889375684565,95.0,101.0
139,Eddie Robinson,CHH,SF,23,1112,Average,Average,1999-2000,0.2135815991237678,109.0,102.0
140,Eddie Robinson,CHH,SF,24,1201,Average,Average,2000-2001,0.24881796690307334,111.0,99.0
141,Jamaal Magloire,CHH,C,22,1095,Average,Average,2000-2001,0.1548463356973995,100.0,97.0
142,Jamal Mashburn,CHH,SF,29,1601,Average,Average,2001-2002,0.25340438129070464,103.0,105.0
143,Jamaal Magloire,CHH,C,23,1549,Average,Average,2001-2002,0.24215512137359388,114.0,101.0
144,Matt Maloney,CHI,PG,28,1175,bottom,bottom,1999-2000,0.17628205128205132,98.0,109.0
145,Chris Anstey,CHI,C,25,1007,bottom,bottom,1999-2000,0.24439102564102563,100.0,102.0
146,Fred Hoiberg,CHI,SG,28,2247,bottom,bottom,2000-2001,0.27596017069701284,119.0,107.0
147,Marcus Fizer,CHI,PF,22,1580,bottom,bottom,2000-2001,0.174964438122333,89.0,108.0
148,Marcus Fizer,CHI,PF,23,1963,bottom,bottom,2001-2002,0.21896316507503405,95.0,108.0
149,Fred Hoiberg,CHI,SG,29,1408,bottom,bottom,2001-2002,0.22714870395634373,112.0,107.0
150,Jamal Crawford,CHI,PG,22,1992,Average,Average,2002-2003,0.2432249322493226,101.0,107.0
151,Eddie Robinson,CHI,SF,26,1355,Average,Average,2002-2003,0.1626016260162602,106.0,106.0
152,Kendall Gill,CHI,SG,35,1411,bottom,bottom,2003-2004,0.15980113636363627,90.0,104.0
153,Eddie Robinson,CHI,SF,27,1024,bottom,bottom,2003-2004,0.1740056818181817,97.0,106.0
154,Tyson Chandler,CHI,C,22,2189,Average,Average,2004-2005,0.2481506388702085,112.0,94.0
155,Ben Gordon,CHI,SG,21,2002,Average,Average,2004-2005,0.20107599193006048,100.0,103.0
156,Chris Duhon,CHI,PG,23,2155,Average,Average,2005-2006,0.20878421387651175,111.0,105.0
157,Darius Songaila,CHI,PF,27,1329,Average,Average,2005-2006,0.19350732017823047,102.0,104.0
158,Chris Duhon,CHI,PG,24,1906,Average,Average,2006-2007,0.17013682331945265,108.0,102.0
159,Andrés Nocioni,CHI,PF,27,1406,Average,Average,2006-2007,0.2272456870910171,106.0,99.0
160,Ben Gordon,CHI,SG,24,2291,Average,Average,2007-2008,0.23339427178549668,110.0,111.0
161,Andrés Nocioni,CHI,SF,28,2021,Average,Average,2007-2008,0.19073735527117613,104.0,109.0
162,Kirk Hinrich,CHI,SG,28,1339,Average,Average,2008-2009,0.18156267566048342,108.0,109.0
163,Aaron Gray,CHI,C,24,715,Average,Average,2008-2009,0.12703766160764474,107.0,107.0
164,Brad Miller,CHI,C,33,1950,Average,Average,2009-2010,0.19381202568593112,106.0,105.0
165,Jannero Pargo,CHI,PG,30,829,Average,Average,2009-2010,0.12084063047285463,89.0,107.0
166,Ronnie Brewer,CHI,SG,25,1781,top,top,2010-2011,0.18913159296750132,110.0,98.0
167,Taj Gibson,CHI,PF,25,1742,top,top,2010-2011,0.16355887053809268,106.0,98.0
168,Derrick Rose,CHI,PG,23,1375,top,top,2011-2012,0.29022245214692177,112.0,101.0
169,Kyle Korver,CHI,SG,30,1469,top,top,2011-2012,0.16088980858768745,120.0,101.0
170,Jimmy Butler,CHI,SF,23,2134,Average,Average,2012-2013,0.2008078476630121,121.0,104.0
171,Nate Robinson,CHI,PG,28,2086,Average,Average,2012-2013,0.23427582227351418,108.0,105.0
172,Taj Gibson,CHI,PF,28,2351,Average,Average,2013-2014,0.21167048054919899,102.0,100.0
173,Tony Snell,CHI,SG,22,1231,Average,Average,2013-2014,0.10869565217391305,97.0,104.0
174,Aaron Brooks,CHI,PG,30,1885,Average,Average,2014-2015,0.17067950775815946,103.0,107.0
175,Nikola Mirotić,CHI,PF,23,1654,Average,Average,2014-2015,0.23274478330658105,111.0,101.0
176,Doug McDermott,CHI,SF,24,1861,Average,Average,2015-2016,0.14073666849917535,110.0,112.0
177,Nikola Mirotić,CHI,PF,24,1646,Average,Average,2015-2016,0.2155030236393622,107.0,104.0
178,Nikola Mirotić,CHI,PF,25,1679,Average,Average,2016-2017,0.20417754569190605,107.0,105.0
179,Cristiano Felício,CHI,C,24,1040,Average,Average,2016-2017,0.18694516971279368,126.0,107.0
180,Denzel Valentine,CHI,SG,24,2095,Average,Average,2017-2018,0.196943972835314,104.0,111.0
181,Bobby Portis,CHI,PF,22,1643,Average,Average,2017-2018,0.2931522354272778,108.0,110.0
182,Ryan Arcidiacono,CHI,PG,24,1961,bottom,bottom,2018-2019,0.17198177676537593,121.0,115.0
183,Robin Lopez,CHI,C,30,1606,bottom,bottom,2018-2019,0.19817767653758553,113.0,115.0
184,Coby White,CHI,PG,19,1674,Average,Average,2019-2020,0.18660560961648542,100.0,112.0
185,Thaddeus Young,CHI,PF,31,1591,Average,Average,2019-2020,0.18946765884373218,101.0,108.0
186,Thaddeus Young,CHI,PF,32,1652,Average,Average,2020-2021,0.2654651729176816,116.0,110.0
187,Garrett Temple,CHI,SG,34,1528,Average,Average,2020-2021,0.10375060886507552,105.0,113.0
188,Ayo Dosunmu,CHI,SG,22,2110,Average,Average,2021-2022,0.14195736434108527,113.0,115.0
189,Coby White,CHI,PG,21,1675,Average,Average,2021-2022,0.1598837209302325,111.0,117.0
190,Coby White,CHI,SG,22,1730,Average,Average,2022-2023,0.17125237191650858,113.0,114.0
191,Alex Caruso,CHI,PG,28,1575,Average,Average,2022-2023,0.1342504743833017,115.0,109.0
192,Marvin Williams,CHO,PF,28,2035,Average,Average,2014-2015,0.18613138686131395,106.0,103.0
193,Lance Stephenson,CHO,SG,24,1573,Average,Average,2014-2015,0.15693430656934304,85.0,105.0
194,Jeremy Lin,CHO,SG,27,2048,Average,Average,2015-2016,0.1719409282700421,102.0,106.0
195,Frank Kaminsky,CHO,C,22,1708,Average,Average,2015-2016,0.16508438818565396,105.0,105.0
196,Frank Kaminsky,CHO,C,23,1954,Average,Average,2016-2017,0.17217217217217207,102.0,110.0
197,Marco Belinelli,CHO,SG,30,1778,Average,Average,2016-2017,0.17267267267267264,110.0,112.0
198,Jeremy Lamb,CHO,SG,25,1967,Average,Average,2017-2018,0.2270833333333333,112.0,109.0
199,Frank Kaminsky,CHO,PF,24,1835,Average,Average,2017-2018,0.19427083333333334,110.0,111.0
200,Miles Bridges,CHO,SF,20,1696,Average,Average,2018-2019,0.17758444216990793,111.0,112.0
201,Malik Monk,CHO,SG,20,1258,Average,Average,2018-2019,0.15097236438075745,99.0,114.0
202,Cody Zeller,CHO,C,27,1341,Average,Average,2019-2020,0.2620807276861854,116.0,111.0
203,Malik Monk,CHO,SG,21,1169,Average,Average,2019-2020,0.20068220579874926,102.0,115.0
204,Miles Bridges,CHO,PF,22,1932,Average,Average,2020-2021,0.210762331838565,116.0,113.0
205,LaMelo Ball,CHO,PG,19,1469,Average,Average,2020-2021,0.25759840558046837,108.0,110.0
206,Kelly Oubre Jr.,CHO,SF,26,1999,Average,Average,2021-2022,0.16745956232159862,111.0,115.0
207,Cody Martin,CHO,SF,26,1866,Average,Average,2021-2022,0.15556612749762141,120.0,114.0
208,Kelly Oubre Jr.,CHO,SF,27,1548,Average,Average,2022-2023,0.19713831478537353,106.0,115.0
209,LaMelo Ball,CHO,PG,21,1268,Average,Average,2022-2023,0.28298887122416533,108.0,115.0
210,Andre Miller,CLE,PG,23,2093,Average,Average,1999-2000,0.2849389416553595,107.0,105.0
211,Wesley Person,CLE,SG,28,2056,Average,Average,1999-2000,0.19674355495251017,108.0,107.0
212,Chris Gatling,CLE,PF,33,1670,Average,Average,2000-2001,0.21972203838517534,98.0,104.0
213,Robert Traylor,CLE,C,23,1212,Average,Average,2000-2001,0.15023163467902056,97.0,101.0
214,Jumaine Jones,CLE,PF,22,2142,Average,bottom,2001-2002,0.19339895773016785,104.0,106.0
215,Ricky Davis,CLE,SF,22,1954,Average,bottom,2001-2002,0.21366531557614354,103.0,109.0
216,Jumaine Jones,CLE,SF,23,2204,bottom,bottom,2002-2003,0.2032927702219041,103.0,108.0
217,Dajuan Wagner,CLE,SG,19,1385,bottom,bottom,2002-2003,0.14173228346456684,96.0,111.0
218,Kevin Ollie,CLE,PG,31,1401,Average,Average,2003-2004,0.18170731707317073,106.0,106.0
219,Ira Newble,CLE,SF,29,1245,Average,Average,2003-2004,0.07439024390243901,91.0,108.0
220,Eric Snow,CLE,SG,31,1844,Average,Average,2004-2005,0.11737089201877934,101.0,108.0
221,Robert Traylor,CLE,C,27,1327,Average,Average,2004-2005,0.12147887323943664,97.0,103.0
222,Donyell Marshall,CLE,PF,32,2077,Average,top,2005-2006,0.19411764705882353,104.0,104.0
223,Damon Jones,CLE,PG,29,2089,Average,top,2005-2006,0.11764705882352941,112.0,110.0
224,Anderson Varejão,CLE,C,24,1932,Average,Average,2006-2007,0.17465130382049732,113.0,98.0
225,Sasha Pavlović,CLE,SG,23,1534,Average,Average,2006-2007,0.15888417222559126,103.0,103.0
226,Devin Brown,CLE,SG,29,1762,Average,Average,2007-2008,0.16477611940298503,102.0,108.0
227,Daniel Gibson,CLE,PG,21,1765,Average,Average,2007-2008,0.14507462686567163,116.0,110.0
228,Daniel Gibson,CLE,PG,22,1795,top,top,2008-2009,0.1075491209927611,108.0,106.0
229,Wally Szczerbiak,CLE,SF,31,1527,top,top,2008-2009,0.15460186142709414,116.0,105.0
230,Anderson Varejão,CLE,PF,27,2166,top,top,2009-2010,0.19119878603945367,123.0,102.0
231,Delonte West,CLE,SG,26,1500,top,top,2009-2010,0.17703591299949414,106.0,105.0
232,Ramon Sessions,CLE,PG,24,2133,bottom,bottom,2010-2011,0.3172894236858772,110.0,114.0
233,Antawn Jamison,CLE,PF,34,1842,bottom,bottom,2010-2011,0.2558581380620646,104.0,111.0
234,Alonzo Gee,CLE,SG,24,1827,bottom,bottom,2011-2012,0.1963685272360457,102.0,108.0
235,Tristan Thompson,CLE,PF,20,1424,bottom,bottom,2011-2012,0.16274377942165424,98.0,108.0
236,C.J. Miles,CLE,SF,25,1364,bottom,bottom,2012-2013,0.20540201005025124,107.0,110.0
237,Anderson Varejão,CLE,C,30,901,bottom,bottom,2012-2013,0.35175879396984927,117.0,104.0
238,Jarrett Jack,CLE,PG,30,2252,Average,Average,2013-2014,0.18170950388523607,102.0,110.0
239,Dion Waiters,CLE,SG,22,2072,Average,Average,2013-2014,0.18888224745965326,99.0,110.0
240,Tristan Thompson,CLE,PF,23,2194,Average,Average,2014-2015,0.1799687010954617,121.0,106.0
241,Matthew Dellavedova,CLE,SG,24,1380,Average,Average,2014-2015,0.09441836202399585,109.0,111.0
242,Tristan Thompson,CLE,PF,24,2269,top,top,2015-2016,0.2009394572025052,130.0,104.0
243,Matthew Dellavedova,CLE,PG,25,1867,top,top,2015-2016,0.14248434237995825,109.0,108.0
244,Iman Shumpert,CLE,SG,26,1937,Average,top,2016-2017,0.10560237977193855,104.0,112.0
245,Richard Jefferson,CLE,SF,36,1614,Average,top,2016-2017,0.10014873574615765,111.0,113.0
246,Jeff Green,CLE,PF,31,1828,Average,top,2017-2018,0.16955017301038064,115.0,114.0
247,Kyle Korver,CLE,SG,36,1574,Average,top,2017-2018,0.15768660405338605,120.0,114.0
248,Jordan Clarkson,CLE,SG,26,2214,bottom,bottom,2018-2019,0.2405797101449274,107.0,119.0
249,Larry Nance Jr.,CLE,C,26,1795,bottom,bottom,2018-2019,0.27884057971014486,120.0,112.0
250,Larry Nance Jr.,CLE,PF,27,1472,bottom,bottom,2019-2020,0.2693156732891833,122.0,113.0
251,Kevin Porter Jr.,CLE,SF,19,1162,bottom,bottom,2019-2020,0.14955849889624728,99.0,115.0
252,Cedi Osman,CLE,SF,25,1510,Average,bottom,2020-2021,0.16002214839424142,100.0,116.0
253,Dean Wade,CLE,PF,24,1212,Average,bottom,2020-2021,0.1782945736434109,116.0,115.0
254,Kevin Love,CLE,C,33,1665,Average,Average,2021-2022,0.30160271976687697,117.0,108.0
255,Cedi Osman,CLE,SF,26,1462,Average,Average,2021-2022,0.15638659543467695,111.0,112.0
256,Caris LeVert,CLE,SG,28,2237,Average,top,2022-2023,0.1625592417061611,111.0,112.0
257,Cedi Osman,CLE,SF,27,1548,Average,top,2022-2023,0.14881516587677723,115.0,113.0
258,Cedric Ceballos,DAL,SF,30,2064,Average,Average,1999-2000,0.22685185185185186,104.0,107.0
259,Hubert Davis,DAL,PG,29,1817,Average,Average,1999-2000,0.14351851851851846,112.0,112.0
260,Howard Eisley,DAL,SG,28,2426,Average,top,2000-2001,0.1391106043329532,105.0,105.0
261,Shawn Bradley,DAL,C,28,2001,Average,top,2000-2001,0.19954389965792468,109.0,96.0
262,Adrian Griffin,DAL,SG,27,1383,top,top,2001-2002,0.167017913593256,115.0,106.0
263,Eduardo Nájera,DAL,PF,25,1357,top,top,2001-2002,0.1538461538461538,119.0,106.0
264,Nick Van Exel,DAL,SG,31,2026,top,top,2002-2003,0.1924469736161408,104.0,107.0
265,Shawn Bradley,DAL,C,30,1731,top,top,2002-2003,0.19451629591308855,121.0,96.0
266,Antawn Jamison,DAL,SF,27,2376,Average,Average,2003-2004,0.22249999999999998,122.0,108.0
267,Josh Howard,DAL,SF,23,1589,Average,Average,2003-2004,0.15450000000000005,107.0,105.0
268,Jerry Stackhouse,DAL,SG,30,1617,top,top,2004-2005,0.191079295154185,106.0,107.0
269,Marquis Daniels,DAL,SG,24,1412,top,top,2004-2005,0.16354625550660795,101.0,104.0
270,Erick Dampier,DAL,C,30,1934,top,top,2005-2006,0.14556609035136642,108.0,103.0
