,Player,Tm,Pos,Age,MP,Team Performance,Team Performance (20),Season,Composite,ORtg,DRtg
1099,Michael Beasley,PHO,SF,24,1554,bottom,bottom,2012-2013,0.17719950433705078,87.0,109.0
1100,Markieff Morris,PHO,PF,24,2153,Average,Average,2013-2014,0.23703703703703705,111.0,106.0
1101,Marcus Morris,PHO,SF,24,1800,Average,Average,2013-2014,0.188034188034188,109.0,107.0
1102,Marcus Morris,PHO,PF,25,2045,Average,Average,2014-2015,0.18890200708382524,107.0,107.0
1103,Gerald Green,PHO,SG,29,1446,Average,Average,2014-2015,0.19067296340023612,101.0,108.0
1104,Mirza Teletović,PHO,PF,30,1686,bottom,bottom,2015-2016,0.24191461836998715,111.0,110.0
1105,Jon Leuer,PHO,PF,26,1255,bottom,bottom,2015-2016,0.2820181112548513,107.0,106.0
1106,Alex Len,PHO,C,23,1560,bottom,bottom,2016-2017,0.20664206642066418,108.0,108.0
1107,Jared Dudley,PHO,PF,31,1362,bottom,bottom,2016-2017,0.1629766297662977,109.0,113.0
1108,Dragan Bender,PHO,PF,20,2069,bottom,bottom,2017-2018,0.13238036047234308,95.0,114.0
1109,Josh Jackson,PHO,SF,20,1959,bottom,bottom,2017-2018,0.15910503418272212,93.0,112.0
1110,Josh Jackson,PHO,SG,21,1988,bottom,bottom,2018-2019,0.15639534883720935,91.0,114.0
1111,T.J. Warren,PHO,SF,25,1360,bottom,bottom,2018-2019,0.22267441860465118,111.0,116.0
1112,Mikal Bridges,PHO,SF,23,2042,Average,Average,2019-2020,0.16040100250626566,119.0,110.0
1113,Deandre Ayton,PHO,C,21,1236,Average,Average,2019-2020,0.2696741854636592,111.0,108.0
1114,Cameron Johnson,PHO,PF,24,1437,top,top,2020-2021,0.14508233199821988,112.0,113.0
1115,Cameron Payne,PHO,PG,26,1079,top,top,2020-2021,0.2171784601691145,122.0,112.0
1116,Cameron Johnson,PHO,PF,25,1730,top,top,2021-2022,0.1860254083484574,123.0,109.0
1117,Landry Shamet,PHO,SG,24,1437,top,top,2021-2022,0.11887477313974594,111.0,112.0
1118,Damion Lee,PHO,SG,30,1506,Average,Average,2022-2023,0.152986886838271,114.0,116.0
1119,Josh Okogie,PHO,SG,24,1350,Average,Average,2022-2023,0.14715881495871785,114.0,113.0
1120,Detlef Schrempf,POR,SF,37,1662,top,top,1999-2000,0.1911523757509557,111.0,102.0
1121,Greg Anthony,POR,PG,32,1548,top,top,1999-2000,0.15346805024576726,110.0,103.0
1122,Steve Smith,POR,SG,31,2542,Average,Average,2000-2001,0.18186753528773072,116.0,106.0
1123,Stacey Augmon,POR,SG,32,1182,Average,Average,2000-2001,0.13626492942453855,107.0,103.0
1124,Derek Anderson,POR,SG,27,1860,Average,Average,2001-2002,0.19145484045429964,114.0,107.0
1125,Ruben Patterson,POR,SF,26,1765,Average,Average,2001-2002,0.20659816116819898,112.0,104.0
1126,Ruben Patterson,POR,SF,27,1655,Average,Average,2002-2003,0.1561969439728353,102.0,103.0
1127,Zach Randolph,POR,PF,21,1301,Average,Average,2002-2003,0.24165251839275612,113.0,102.0
1128,Dale Davis,POR,C,34,1682,Average,Average,2003-2004,0.16091281451141018,115.0,104.0
1129,Ruben Patterson,POR,SF,28,1651,Average,Average,2003-2004,0.16032767700409603,104.0,105.0
1130,Ruben Patterson,POR,SF,29,1957,Average,bottom,2004-2005,0.19152854511970532,105.0,108.0
1131,Darius Miles,POR,SF,23,1699,Average,bottom,2004-2005,0.2044198895027625,95.0,105.0
1132,Sebastian Telfair,POR,PG,20,1641,bottom,bottom,2005-2006,0.18700927908636686,99.0,114.0
1133,Jarrett Jack,POR,SG,22,1599,bottom,bottom,2005-2006,0.2091363311920057,104.0,114.0
