Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
213,Brevin Knight,PG,25,CLE,6,0,93,1.1,8.5,.133,0.0,0.0,,1.1,8.5,.133,2.8,3.4,.833,0.6,3.4,4.0,14.1,3.4,0.6,4.0,9.6,5.1,,78,104,knighbr01
213,Brevin Knight,PG,25,ATL,47,43,1364,5.2,13.6,.385,0.0,0.4,.100,5.2,13.2,.393,1.9,2.3,.817,0.8,5.3,6.2,10.9,3.6,0.1,3.2,5.3,12.4,,96,102,knighbr01
214,Travis Knight,C,26,NYK,45,0,256,2.2,11.5,.189,0.0,0.2,.000,2.2,11.2,.192,1.9,3.9,.500,4.1,7.4,11.5,1.1,1.1,2.4,2.2,10.2,6.3,,63,97,knightr01
215,Toni Kukoč*,SF,32,TOT,65,19,1597,9.1,19.2,.473,2.3,5.2,.446,6.8,14.0,.482,3.3,5.3,.631,2.2,6.4,8.5,6.6,1.6,0.4,3.7,3.2,23.8,,108,103,kukocto01
215,Toni Kukoč*,SF,32,PHI,48,5,979,8.2,17.9,.458,1.7,4.2,.410,6.4,13.6,.472,2.8,4.8,.591,2.5,6.2,8.8,5.0,1.9,0.3,3.2,3.4,20.9,,104,100,kukocto01
215,Toni Kukoč*,SF,32,ATL,17,14,618,10.5,21.3,.492,3.2,6.7,.481,7.3,14.6,.497,4.1,6.1,.681,1.6,6.6,8.2,9.0,1.1,0.4,4.3,3.0,28.3,,114,106,kukocto01
216,Christian Laettner,C-PF,31,TOT,78,48,1663,8.6,17.1,.503,0.1,0.4,.308,8.5,16.7,.507,5.3,6.3,.833,3.7,7.7,11.3,3.8,2.2,1.4,4.3,7.5,22.6,,106,102,laettch01
216,Christian Laettner,C,31,DAL,53,35,930,9.1,17.9,.511,0.1,0.2,.333,9.1,17.7,.513,3.7,4.5,.817,4.2,7.6,11.7,3.7,2.2,1.5,3.9,8.8,22.0,,105,100,laettch01
216,Christian Laettner,PF,31,WAS,25,13,733,7.9,16.1,.491,0.2,0.7,.300,7.7,15.4,.500,7.3,8.6,.844,3.0,7.8,10.8,4.0,2.2,1.3,4.7,5.9,23.3,,107,105,laettch01
217,Raef LaFrentz,C,24,DEN,78,74,2457,8.2,17.1,.477,1.1,2.9,.367,7.1,14.2,.499,3.9,5.5,.698,3.6,9.2,12.8,2.3,0.8,4.3,2.0,6.1,21.3,,110,103,lafrera01
218,Trajan Langdon,SG,24,CLE,65,5,1116,6.4,14.8,.431,2.4,5.8,.411,4.0,8.9,.444,3.2,3.6,.895,0.6,3.6,4.2,3.8,1.8,0.4,2.5,5.4,18.3,,109,108,langdtr01
219,Dan Langhi,SF,23,HOU,33,0,241,8.2,21.8,.374,0.0,0.2,.000,8.2,21.6,.378,3.5,6.4,.552,2.9,6.2,9.0,0.9,1.5,0.2,1.8,3.5,19.8,,87,106,langhda01
