Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
88,Will Conroy,SG,24,MEM,3,0,17,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,3.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,,215,119,conrowi01
88,Will Conroy,PG,24,LAC,4,0,35,0.0,4.5,.000,0.0,0.0,,0.0,4.5,.000,0.0,6.0,.000,3.0,4.5,7.6,12.1,0.0,0.0,3.0,9.1,0.0,,62,112,conrowi01
89,Brian Cook,PF,26,LAL,65,24,1018,9.3,20.6,.453,2.3,5.8,.400,7.0,14.8,.474,1.7,2.4,.723,3.1,7.8,10.8,3.3,1.3,1.4,2.6,6.8,22.7,,105,108,cookbr01
90,Jamal Crawford,SG,26,NYK,59,36,2198,8.5,21.3,.400,2.5,7.7,.320,6.0,13.6,.445,5.5,6.5,.838,1.1,3.5,4.5,6.2,1.4,0.2,3.9,2.7,25.0,,105,112,crawfja01
91,Austin Croshere,PF,31,DAL,61,2,727,5.8,16.4,.351,1.9,6.7,.286,3.8,9.7,.397,3.3,3.8,.865,2.4,11.3,13.7,3.2,1.0,0.4,2.4,5.0,16.7,,100,102,croshau01
92,Eddy Curry,C,24,NYK,81,81,2849,10.9,18.9,.576,0.0,0.0,1.000,10.8,18.8,.575,7.5,12.2,.615,3.6,7.0,10.6,1.3,0.6,0.7,5.5,4.9,29.3,,105,110,curryed01
93,Samuel Dalembert,C,25,PHI,82,82,2535,7.4,13.7,.541,0.0,0.0,.000,7.4,13.7,.543,3.5,4.7,.746,5.0,10.3,15.3,1.3,1.0,3.3,3.4,6.0,18.4,,108,103,dalemsa01
94,Erick Dampier,C,31,DAL,76,73,1915,5.9,9.4,.626,0.0,0.0,,5.9,9.4,.626,3.3,5.3,.623,6.1,9.8,15.8,1.2,0.7,2.3,3.0,6.7,15.0,,118,102,dampier01
95,Antonio Daniels,SG,31,WAS,80,8,1761,5.0,11.3,.442,0.6,1.8,.302,4.4,9.4,.469,6.0,7.2,.832,0.5,3.9,4.4,8.4,1.1,0.3,2.0,2.3,16.5,,123,114,daniean01
96,Marquis Daniels,SG,26,IND,45,4,800,8.4,18.2,.459,0.4,1.7,.231,8.0,16.5,.482,3.6,5.2,.700,1.7,3.6,5.3,3.7,1.8,0.5,3.6,3.6,20.8,,97,108,daniema01
97,Baron Davis,PG,27,GSW,63,62,2221,9.9,22.4,.439,1.9,6.1,.304,8.0,16.3,.489,6.0,8.0,.745,1.1,4.9,6.0,11.1,2.9,0.6,4.2,3.9,27.5,,109,106,davisba01
98,Dale Davis,C,37,DET,46,6,464,3.9,8.8,.446,0.0,0.0,,3.9,8.8,.446,2.0,3.1,.654,7.0,9.2,16.2,1.4,1.2,4.0,1.8,7.0,9.8,,112,100,davisda01
99,Paul Davis,C,22,LAC,31,0,180,6.5,15.3,.423,0.0,0.0,,6.5,15.3,.423,2.1,2.9,.700,6.2,6.8,12.9,2.1,1.8,1.5,2.4,8.2,15.0,,99,105,davispa01
100,Ricky Davis,SF,27,MIN,81,81,3021,8.8,19.0,.465,2.1,5.4,.397,6.7,13.6,.492,4.2,5.0,.839,0.9,4.6,5.5,6.7,1.4,0.4,3.7,3.3,24.0,,108,110,davisri01
101,Carlos Delfino,SG,24,DET,82,1,1372,6.3,15.1,.415,1.8,5.5,.333,4.4,9.5,.462,2.8,3.6,.787,2.7,8.0,10.7,3.5,1.8,0.3,2.4,3.9,17.2,,105,104,delfica01
102,Luol Deng,SF,21,CHI,82,82,3071,10.5,20.3,.517,0.0,0.1,.143,10.5,20.2,.519,4.7,6.0,.777,2.5,7.2,9.7,3.4,1.6,0.8,2.6,2.8,25.7,,112,100,denglu01
103,Boris Diaw,PF,24,PHO,73,59,2268,6.8,12.6,.538,0.3,1.0,.333,6.4,11.6,.555,1.8,2.7,.683,2.0,5.0,7.0,7.8,0.6,0.8,3.4,3.9,15.7,,111,109,diawbo01
